ch_no,ve_no,ve_no_g,coe,voe,cavoe
1,1,1,Ganjil,Ganjil,Genap
1,2,2,Ganjil,Genap,Ganjil
1,3,3,Ganjil,Ganjil,Genap
1,4,4,Ganjil,Genap,Ganjil
1,5,5,Ganjil,Ganjil,Genap
1,6,6,Ganjil,Genap,Ganjil
1,7,7,Ganjil,Ganjil,Genap
2,1,8,Genap,Ganjil,Ganjil
2,2,9,Genap,Genap,Genap
2,3,10,Genap,Ganjil,Ganjil
2,4,11,Genap,Genap,Genap
2,5,12,Genap,Ganjil,Ganjil
2,6,13,Genap,Genap,Genap
2,7,14,Genap,Ganjil,Ganjil
2,8,15,Genap,Genap,Genap
2,9,16,Genap,Ganjil,Ganjil
2,10,17,Genap,Genap,Genap
2,11,18,Genap,Ganjil,Ganjil
2,12,19,Genap,Genap,Genap
2,13,20,Genap,Ganjil,Ganjil
2,14,21,Genap,Genap,Genap
2,15,22,Genap,Ganjil,Ganjil
2,16,23,Genap,Genap,Genap
2,17,24,Genap,Ganjil,Ganjil
2,18,25,Genap,Genap,Genap
2,19,26,Genap,Ganjil,Ganjil
2,20,27,Genap,Genap,Genap
2,21,28,Genap,Ganjil,Ganjil
2,22,29,Genap,Genap,Genap
2,23,30,Genap,Ganjil,Ganjil
2,24,31,Genap,Genap,Genap
2,25,32,Genap,Ganjil,Ganjil
2,26,33,Genap,Genap,Genap
2,27,34,Genap,Ganjil,Ganjil
2,28,35,Genap,Genap,Genap
2,29,36,Genap,Ganjil,Ganjil
2,30,37,Genap,Genap,Genap
2,31,38,Genap,Ganjil,Ganjil
2,32,39,Genap,Genap,Genap
2,33,40,Genap,Ganjil,Ganjil
2,34,41,Genap,Genap,Genap
2,35,42,Genap,Ganjil,Ganjil
2,36,43,Genap,Genap,Genap
2,37,44,Genap,Ganjil,Ganjil
2,38,45,Genap,Genap,Genap
2,39,46,Genap,Ganjil,Ganjil
2,40,47,Genap,Genap,Genap
2,41,48,Genap,Ganjil,Ganjil
2,42,49,Genap,Genap,Genap
2,43,50,Genap,Ganjil,Ganjil
2,44,51,Genap,Genap,Genap
2,45,52,Genap,Ganjil,Ganjil
2,46,53,Genap,Genap,Genap
2,47,54,Genap,Ganjil,Ganjil
2,48,55,Genap,Genap,Genap
2,49,56,Genap,Ganjil,Ganjil
2,50,57,Genap,Genap,Genap
2,51,58,Genap,Ganjil,Ganjil
2,52,59,Genap,Genap,Genap
2,53,60,Genap,Ganjil,Ganjil
2,54,61,Genap,Genap,Genap
2,55,62,Genap,Ganjil,Ganjil
2,56,63,Genap,Genap,Genap
2,57,64,Genap,Ganjil,Ganjil
2,58,65,Genap,Genap,Genap
2,59,66,Genap,Ganjil,Ganjil
2,60,67,Genap,Genap,Genap
2,61,68,Genap,Ganjil,Ganjil
2,62,69,Genap,Genap,Genap
2,63,70,Genap,Ganjil,Ganjil
2,64,71,Genap,Genap,Genap
2,65,72,Genap,Ganjil,Ganjil
2,66,73,Genap,Genap,Genap
2,67,74,Genap,Ganjil,Ganjil
2,68,75,Genap,Genap,Genap
2,69,76,Genap,Ganjil,Ganjil
2,70,77,Genap,Genap,Genap
2,71,78,Genap,Ganjil,Ganjil
2,72,79,Genap,Genap,Genap
2,73,80,Genap,Ganjil,Ganjil
2,74,81,Genap,Genap,Genap
2,75,82,Genap,Ganjil,Ganjil
2,76,83,Genap,Genap,Genap
2,77,84,Genap,Ganjil,Ganjil
2,78,85,Genap,Genap,Genap
2,79,86,Genap,Ganjil,Ganjil
2,80,87,Genap,Genap,Genap
2,81,88,Genap,Ganjil,Ganjil
2,82,89,Genap,Genap,Genap
2,83,90,Genap,Ganjil,Ganjil
2,84,91,Genap,Genap,Genap
2,85,92,Genap,Ganjil,Ganjil
2,86,93,Genap,Genap,Genap
2,87,94,Genap,Ganjil,Ganjil
2,88,95,Genap,Genap,Genap
2,89,96,Genap,Ganjil,Ganjil
2,90,97,Genap,Genap,Genap
2,91,98,Genap,Ganjil,Ganjil
2,92,99,Genap,Genap,Genap
2,93,100,Genap,Ganjil,Ganjil
2,94,101,Genap,Genap,Genap
2,95,102,Genap,Ganjil,Ganjil
2,96,103,Genap,Genap,Genap
2,97,104,Genap,Ganjil,Ganjil
2,98,105,Genap,Genap,Genap
2,99,106,Genap,Ganjil,Ganjil
2,100,107,Genap,Genap,Genap
2,101,108,Genap,Ganjil,Ganjil
2,102,109,Genap,Genap,Genap
2,103,110,Genap,Ganjil,Ganjil
2,104,111,Genap,Genap,Genap
2,105,112,Genap,Ganjil,Ganjil
2,106,113,Genap,Genap,Genap
2,107,114,Genap,Ganjil,Ganjil
2,108,115,Genap,Genap,Genap
2,109,116,Genap,Ganjil,Ganjil
2,110,117,Genap,Genap,Genap
2,111,118,Genap,Ganjil,Ganjil
2,112,119,Genap,Genap,Genap
2,113,120,Genap,Ganjil,Ganjil
2,114,121,Genap,Genap,Genap
2,115,122,Genap,Ganjil,Ganjil
2,116,123,Genap,Genap,Genap
2,117,124,Genap,Ganjil,Ganjil
2,118,125,Genap,Genap,Genap
2,119,126,Genap,Ganjil,Ganjil
2,120,127,Genap,Genap,Genap
2,121,128,Genap,Ganjil,Ganjil
2,122,129,Genap,Genap,Genap
2,123,130,Genap,Ganjil,Ganjil
2,124,131,Genap,Genap,Genap
2,125,132,Genap,Ganjil,Ganjil
2,126,133,Genap,Genap,Genap
2,127,134,Genap,Ganjil,Ganjil
2,128,135,Genap,Genap,Genap
2,129,136,Genap,Ganjil,Ganjil
2,130,137,Genap,Genap,Genap
2,131,138,Genap,Ganjil,Ganjil
2,132,139,Genap,Genap,Genap
2,133,140,Genap,Ganjil,Ganjil
2,134,141,Genap,Genap,Genap
2,135,142,Genap,Ganjil,Ganjil
2,136,143,Genap,Genap,Genap
2,137,144,Genap,Ganjil,Ganjil
2,138,145,Genap,Genap,Genap
2,139,146,Genap,Ganjil,Ganjil
2,140,147,Genap,Genap,Genap
2,141,148,Genap,Ganjil,Ganjil
2,142,149,Genap,Genap,Genap
2,143,150,Genap,Ganjil,Ganjil
2,144,151,Genap,Genap,Genap
2,145,152,Genap,Ganjil,Ganjil
2,146,153,Genap,Genap,Genap
