ch_no,t_ve,t_w_nb,t_c_nb,cavoe,cav
1,7,29,139,even,8
2,286,6116,25865,even,288
3,200,3481,14738,odd,203
4,176,3747,16063,even,180
5,120,2804,12015,odd,125
6,165,3050,12554,odd,171
7,206,3320,14213,odd,213
8,75,1233,5342,odd,83
9,129,2498,10940,even,138
10,109,1833,7506,odd,119
11,123,1917,7714,even,134
12,111,1777,7193,odd,123
13,43,853,3495,even,56
14,52,830,3494,even,66
15,99,655,2826,even,114
16,128,1844,7709,even,144
17,111,1556,6555,even,128
18,110,1579,6480,even,128
19,98,961,3861,odd,117
20,135,1335,5329,odd,155
21,112,1169,4969,odd,133
22,78,1274,5232,even,100
23,118,1050,4390,odd,141
24,64,1316,5655,even,88
25,77,893,3818,even,102
26,227,1318,5564,odd,253
27,93,1151,4742,even,120
28,88,1430,5854,even,116
29,69,976,4249,even,98
30,60,817,3428,even,90
31,34,546,2132,odd,65
32,30,372,1538,even,62
33,73,1287,5664,even,106
34,54,883,3546,even,88
35,45,775,3183,even,80
36,83,725,3015,odd,119
37,182,861,3825,odd,219
38,88,733,3011,even,126
39,75,1172,4781,even,114
40,85,1219,5033,odd,125
41,54,794,3330,odd,95
42,53,860,3469,odd,95
43,89,830,3546,even,132
44,59,346,1453,odd,103
45,37,488,2043,even,82
46,35,643,2621,odd,81
47,38,539,2385,odd,85
48,29,560,2474,odd,77
49,18,347,1507,odd,67
50,45,373,1488,odd,95
51,60,360,1522,odd,111
52,49,312,1301,odd,101
53,62,360,1419,odd,115
54,55,342,1460,odd,109
55,78,351,1652,odd,133
56,96,379,1714,even,152
57,29,574,2503,even,86
58,22,472,2008,even,80
59,24,445,1931,odd,83
60,13,348,1538,odd,73
61,14,221,943,odd,75
62,11,175,754,odd,73
63,11,180,787,even,74
64,18,241,1069,even,82
65,12,287,1180,odd,77
66,12,249,1072,even,78
67,30,333,1328,odd,97
68,52,300,1263,even,120
69,52,258,1111,odd,121
70,44,217,949,even,114
71,28,226,952,odd,99
72,28,285,1095,even,100
73,20,199,849,odd,93
74,56,255,1024,even,130
75,40,164,667,odd,115
76,31,243,1075,odd,107
77,50,181,820,odd,127
78,40,173,775,even,118
79,46,179,771,odd,125
80,42,133,546,even,122
81,29,104,431,even,110
82,19,80,328,odd,101
83,36,169,744,odd,119
84,25,107,440,odd,109
85,22,109,463,odd,107
86,17,61,252,odd,103
87,19,72,296,even,106
88,26,92,380,even,114
89,30,137,575,odd,119
90,20,82,336,even,110
91,15,54,250,even,106
92,21,71,314,odd,113
93,11,40,165,even,104
94,8,27,102,even,102
95,8,34,157,odd,103
96,19,72,285,odd,115
97,5,30,112,even,102
98,8,94,397,even,106
99,8,36,156,odd,107
100,11,40,164,odd,111
101,11,36,158,even,112
102,8,28,122,even,110
103,3,14,71,even,106
104,9,33,133,odd,113
105,5,23,96,even,110
106,4,17,75,even,110
107,7,25,114,even,114
108,3,10,42,odd,111
109,6,26,95,odd,115
110,3,19,80,odd,113
111,5,23,81,even,116
112,4,15,47,even,116
113,5,23,71,even,118
114,6,20,80,even,120
