ve_no_g,ch_no,ve_no,page,juz,t_w_nb,t_c_nb,cav,cavoe
1,1,1,1,1,4,19,2,even
2,1,2,1,1,4,17,3,odd
3,1,3,1,1,2,12,4,even
4,1,4,1,1,3,11,5,odd
5,1,5,1,1,4,19,6,even
6,1,6,1,1,3,18,7,odd
7,1,7,1,1,9,43,8,even
8,2,1,2,1,1,3,3,odd
9,2,2,2,1,7,26,4,even
10,2,3,2,1,8,46,5,odd
11,2,4,2,1,12,53,6,even
12,2,5,2,1,8,33,7,odd
13,2,6,3,1,11,47,8,even
14,2,7,3,1,12,51,9,odd
15,2,8,3,1,11,49,10,even
16,2,9,3,1,10,49,11,odd
17,2,10,3,1,12,51,12,even
18,2,11,3,1,11,43,13,odd
19,2,12,3,1,7,29,14,even
20,2,13,3,1,19,80,15,odd
21,2,14,3,1,16,74,16,even
22,2,15,3,1,7,33,17,odd
23,2,16,3,1,11,55,18,even
24,2,17,4,1,17,71,19,odd
25,2,18,4,1,6,19,20,even
26,2,19,4,1,19,83,21,odd
27,2,20,4,1,25,100,22,even
28,2,21,4,1,11,52,23,odd
29,2,22,4,1,23,97,24,even
30,2,23,4,1,20,77,25,odd
31,2,24,4,1,13,65,26,even
32,2,25,5,1,34,139,27,odd
33,2,26,5,1,39,154,28,even
34,2,27,5,1,20,80,29,odd
35,2,28,5,1,13,58,30,even
36,2,29,5,1,19,68,31,odd
37,2,30,6,1,28,110,32,even
38,2,31,6,1,15,68,33,odd
39,2,32,6,1,12,47,34,even
40,2,33,6,1,22,98,35,odd
41,2,34,6,1,13,62,36,even
42,2,35,6,1,18,78,37,odd
43,2,36,6,1,19,84,38,even
44,2,37,6,1,11,43,39,odd
45,2,38,7,1,17,68,40,even
46,2,39,7,1,10,48,41,odd
47,2,40,7,1,13,66,42,even
48,2,41,7,1,18,78,43,odd
49,2,42,7,1,8,41,44,even
50,2,43,7,1,7,41,45,odd
51,2,44,7,1,10,54,46,even
52,2,45,7,1,8,46,47,odd
53,2,46,7,1,8,37,48,even
54,2,47,7,1,11,55,49,odd
55,2,48,7,1,19,67,50,even
56,2,49,8,1,18,84,51,odd
57,2,50,8,1,10,50,52,even
58,2,51,8,1,12,51,53,odd
59,2,52,8,1,8,30,54,even
60,2,53,8,1,7,37,55,odd
61,2,54,8,1,26,120,56,even
62,2,55,8,1,14,58,57,odd
63,2,56,8,1,7,29,58,even
64,2,57,8,1,18,88,59,odd
65,2,58,9,1,20,93,60,even
66,2,59,9,1,18,77,61,odd
67,2,60,9,1,28,118,62,even
68,2,61,9,1,59,252,63,odd
69,2,62,10,1,24,107,64,even
70,2,63,10,1,15,69,65,odd
71,2,64,10,1,13,53,66,even
72,2,65,10,1,12,52,67,odd
73,2,66,10,1,9,43,68,even
74,2,67,10,1,20,82,69,odd
75,2,68,10,1,23,80,70,even
76,2,69,10,1,18,70,71,odd
77,2,70,11,1,17,61,72,even
78,2,71,11,1,24,96,73,odd
79,2,72,11,1,10,44,74,even
80,2,73,11,1,11,56,75,odd
81,2,74,11,1,37,139,76,even
82,2,75,11,1,19,76,77,odd
83,2,76,11,1,23,103,78,even
84,2,77,12,1,9,36,79,odd
85,2,78,12,1,11,44,80,even
86,2,79,12,1,24,101,81,odd
87,2,80,12,1,23,91,82,even
88,2,81,12,1,13,50,83,odd
89,2,82,12,1,10,49,84,even
90,2,83,12,1,29,146,85,odd
91,2,84,13,1,15,69,86,even
92,2,85,13,1,49,223,87,odd
93,2,86,13,1,13,64,88,even
94,2,87,13,1,28,137,89,odd
95,2,88,13,1,10,46,90,even
96,2,89,14,1,26,106,91,odd
97,2,90,14,1,27,105,92,even
98,2,91,14,1,30,120,93,odd
99,2,92,14,1,11,49,94,even
100,2,93,14,1,27,129,95,odd
101,2,94,15,1,17,67,96,even
102,2,95,15,1,9,43,97,odd
103,2,96,15,1,25,102,98,even
104,2,97,15,1,18,72,99,odd
105,2,98,15,1,12,53,100,even
106,2,99,15,1,10,42,101,odd
107,2,100,15,1,10,43,102,even
108,2,101,15,1,22,87,103,odd
109,2,102,16,1,74,303,104,even
110,2,103,16,1,12,50,105,odd
111,2,104,16,1,12,63,106,even
112,2,105,16,1,25,97,107,odd
113,2,106,17,1,19,62,108,even
114,2,107,17,1,17,57,109,odd
115,2,108,17,1,18,71,110,even
116,2,109,17,1,33,121,111,odd
117,2,110,17,1,17,77,112,even
118,2,111,17,1,18,69,113,odd
119,2,112,17,1,17,58,114,even
120,2,113,18,1,31,137,115,odd
121,2,114,18,1,30,113,116,even
122,2,115,18,1,12,51,117,odd
123,2,116,18,1,14,52,118,even
124,2,117,18,1,11,45,119,odd
125,2,118,18,1,24,103,120,even
126,2,119,18,1,10,43,121,odd
127,2,120,19,1,31,111,122,even
128,2,121,19,1,15,68,123,odd
129,2,122,19,1,11,55,124,even
130,2,123,19,1,18,65,125,odd
131,2,124,19,1,19,79,126,even
132,2,125,19,1,22,109,127,odd
133,2,126,19,1,30,122,128,even
134,2,127,20,1,14,62,129,odd
135,2,128,20,1,17,76,130,even
136,2,129,20,1,16,81,131,odd
137,2,130,20,1,18,71,132,even
138,2,131,20,1,9,32,133,odd
139,2,132,20,1,16,67,134,even
140,2,133,20,1,27,110,135,odd
141,2,134,20,1,15,53,136,even
142,2,135,21,1,15,60,137,odd
143,2,136,21,1,31,132,138,even
144,2,137,21,1,19,81,139,odd
145,2,138,21,1,10,36,140,even
146,2,139,21,1,14,61,141,odd
147,2,140,21,1,30,120,142,even
148,2,141,21,1,15,53,143,odd
149,2,142,22,2,21,88,144,even
150,2,143,22,2,45,194,145,odd
151,2,144,22,2,34,144,146,even
152,2,145,22,2,32,129,147,odd
153,2,146,23,2,14,72,148,even
154,2,147,23,2,7,27,149,odd
155,2,148,23,2,19,74,150,even
156,2,149,23,2,17,65,151,odd
157,2,150,23,2,31,138,152,even
158,2,151,23,2,17,87,153,odd
159,2,152,23,2,6,32,154,even
160,2,153,23,2,10,52,155,odd
161,2,154,24,2,13,49,156,even
162,2,155,24,2,12,63,157,odd
163,2,156,24,2,10,43,158,even
164,2,157,24,2,9,41,159,odd
165,2,158,24,2,24,89,160,even
166,2,159,24,2,20,87,161,odd
167,2,160,24,2,11,57,162,even
168,2,161,24,2,13,63,163,odd
169,2,162,24,2,9,36,164,even
170,2,163,24,2,9,34,165,odd
171,2,164,25,2,43,182,166,even
172,2,165,25,2,31,124,167,odd
173,2,166,25,2,12,57,168,even
174,2,167,25,2,23,93,169,odd
175,2,168,25,2,16,64,170,even
176,2,169,25,2,11,50,171,odd
177,2,170,26,2,22,90,172,even
178,2,171,26,2,18,66,173,odd
179,2,172,26,2,14,60,174,even
180,2,173,26,2,25,93,175,odd
181,2,174,26,2,29,120,176,even
182,2,175,26,2,11,60,177,odd
183,2,176,26,2,14,56,178,even
184,2,177,27,2,51,263,179,odd
185,2,178,27,2,37,162,180,even
186,2,179,27,2,8,37,181,odd
187,2,180,27,2,16,76,182,even
188,2,181,27,2,13,54,183,odd
189,2,182,28,2,16,55,184,even
190,2,183,28,2,14,61,185,odd
191,2,184,28,2,32,122,186,even
192,2,185,28,2,44,185,187,odd
193,2,186,28,2,17,77,188,even
194,2,187,29,2,65,280,189,odd
195,2,188,29,2,17,84,190,even
196,2,189,29,2,27,117,191,odd
197,2,190,29,2,13,57,192,even
198,2,191,30,2,25,126,193,odd
199,2,192,30,2,6,24,194,even
200,2,193,30,2,15,62,195,odd
201,2,194,30,2,22,106,196,even
202,2,195,30,2,14,66,197,odd
203,2,196,30,2,73,289,198,even
204,2,197,31,2,29,118,199,odd
205,2,198,31,2,26,109,200,even
206,2,199,31,2,12,49,201,odd
207,2,200,31,2,24,98,202,even
208,2,201,31,2,14,59,203,odd
209,2,202,31,2,8,35,204,even
210,2,203,32,2,25,102,205,odd
211,2,204,32,2,17,65,206,even
212,2,205,32,2,14,59,207,odd
213,2,206,32,2,12,52,208,even
214,2,207,32,2,11,49,209,odd
215,2,208,32,2,15,65,210,even
216,2,209,32,2,12,48,211,odd
217,2,210,32,2,17,71,212,even
218,2,211,33,2,20,74,213,odd
219,2,212,33,2,20,93,214,even
220,2,213,33,2,49,210,215,odd
221,2,214,33,2,30,128,216,even
222,2,215,33,2,22,100,217,odd
223,2,216,34,2,25,91,218,even
224,2,217,34,2,57,242,219,odd
225,2,218,34,2,16,72,220,even
226,2,219,34,2,26,120,221,odd
227,2,220,35,2,26,116,222,even
228,2,221,35,2,39,182,223,odd
229,2,222,35,2,27,120,224,even
230,2,223,35,2,16,80,225,odd
231,2,224,35,2,14,65,226,even
232,2,225,36,2,14,64,227,odd
233,2,226,36,2,13,53,228,even
234,2,227,36,2,7,28,229,odd
235,2,228,36,2,40,175,230,even
236,2,229,36,2,46,190,231,odd
237,2,230,36,2,30,114,232,even
238,2,231,37,2,45,202,233,odd
239,2,232,37,2,33,146,234,even
240,2,233,37,2,64,284,235,odd
241,2,234,38,2,25,121,236,even
242,2,235,38,2,47,199,237,odd
243,2,236,38,2,25,110,238,even
244,2,237,38,2,35,141,239,odd
245,2,238,39,2,8,41,240,even
246,2,239,39,2,15,65,241,odd
247,2,240,39,2,27,113,242,even
248,2,241,39,2,6,32,243,odd
249,2,242,39,2,7,31,244,even
250,2,243,39,2,28,104,245,odd
251,2,244,39,2,9,37,246,even
252,2,245,39,2,16,68,247,odd
253,2,246,40,2,54,211,248,even
254,2,247,40,2,43,164,249,odd
255,2,248,40,2,30,116,250,even
256,2,249,41,2,60,240,251,odd
257,2,250,41,2,15,76,252,even
258,2,251,41,2,27,121,253,odd
259,2,252,41,2,9,41,254,even
260,2,253,42,3,52,206,255,odd
261,2,254,42,3,21,83,256,even
262,2,255,42,3,50,184,257,odd
263,2,256,42,3,24,101,258,even
264,2,257,43,3,24,114,259,odd
265,2,258,43,3,43,161,260,even
266,2,259,43,3,67,249,261,odd
267,2,260,44,3,39,145,262,even
268,2,261,44,3,24,94,263,odd
269,2,262,44,3,24,91,264,even
270,2,263,44,3,11,44,265,odd
271,2,264,44,3,38,173,266,even
272,2,265,45,3,27,122,267,odd
273,2,266,45,3,35,146,268,even
274,2,267,45,3,29,124,269,odd
275,2,268,45,3,13,66,270,even
276,2,269,45,3,16,65,271,odd
277,2,270,46,3,15,56,272,even
278,2,271,46,3,20,87,273,odd
279,2,272,46,3,28,112,274,even
280,2,273,46,3,30,132,275,odd
281,2,274,46,3,17,77,276,even
282,2,275,47,3,45,186,277,odd
283,2,276,47,3,11,45,278,even
284,2,277,47,3,19,87,279,odd
285,2,278,47,3,13,55,280,even
286,2,279,47,3,17,71,281,odd
287,2,280,47,3,14,52,282,even
288,2,281,47,3,15,54,283,odd
289,2,282,48,3,128,547,284,even
290,2,283,49,3,32,136,285,odd
291,2,284,49,3,28,101,286,even
292,2,285,49,3,27,119,287,odd
293,2,286,49,3,49,195,288,even
294,3,1,50,3,1,3,4,even
295,3,2,50,3,7,24,5,odd
296,3,3,50,3,11,52,6,even
297,3,4,50,3,18,73,7,odd
298,3,5,50,3,11,37,8,even
299,3,6,50,3,13,50,9,odd
300,3,7,50,3,46,191,10,even
301,3,8,50,3,15,54,11,odd
302,3,9,50,3,13,47,12,even
303,3,10,51,3,16,63,13,odd
304,3,11,51,3,14,68,14,even
305,3,12,51,3,9,43,15,odd
306,3,13,51,3,29,115,16,even
307,3,14,51,3,24,121,17,odd
308,3,15,51,3,24,102,18,even
309,3,16,52,3,11,51,19,odd
310,3,17,52,3,6,51,20,even
311,3,18,52,3,18,72,21,odd
312,3,19,52,3,26,104,22,even
313,3,20,52,3,26,119,23,odd
314,3,21,52,3,18,86,24,even
315,3,22,52,3,11,49,25,odd
316,3,23,53,3,20,79,26,even
317,3,24,53,3,15,64,27,odd
318,3,25,53,3,15,52,28,even
319,3,26,53,3,25,91,29,odd
320,3,27,53,3,21,84,30,even
321,3,28,53,3,27,112,31,odd
322,3,29,53,3,22,77,32,even
323,3,30,54,3,26,96,33,odd
324,3,31,54,3,14,62,34,even
325,3,32,54,3,11,46,35,odd
326,3,33,54,3,11,48,36,even
327,3,34,54,3,7,27,37,odd
328,3,35,54,3,18,65,38,even
329,3,36,54,3,24,108,39,odd
330,3,37,54,3,34,137,40,even
331,3,38,55,3,15,52,41,odd
332,3,39,55,3,20,90,42,even
333,3,40,55,3,17,62,43,odd
334,3,41,55,3,20,80,44,even
335,3,42,55,3,12,57,45,odd
336,3,43,55,3,7,35,46,even
337,3,44,55,3,20,80,47,odd
338,3,45,55,3,20,90,48,even
339,3,46,56,3,7,32,49,odd
340,3,47,56,3,23,79,50,even
341,3,48,56,3,5,34,51,odd
342,3,49,56,3,45,185,52,even
343,3,50,56,3,19,80,53,odd
344,3,51,56,3,8,33,54,even
345,3,52,56,3,20,87,55,odd
346,3,53,57,3,9,46,56,even
347,3,54,57,3,6,29,57,odd
348,3,55,57,3,30,130,58,even
349,3,56,57,3,13,60,59,odd
350,3,57,57,3,11,57,60,even
351,3,58,57,3,7,32,61,odd
352,3,59,57,3,15,48,62,even
353,3,60,57,3,7,25,63,odd
